premise	hypothesis	entailment	reasoning_type	function_name
John came to the market.	John was not moving.	contradiction	motion	gen_come_past_motion_negative
John came to the market.	John was not in motion.	contradiction	motion	gen_come_past_motion_negative
John came to the market.	John was stationary.	contradiction	motion	gen_come_past_motion_negative
John came to school.	John was not moving.	contradiction	motion	gen_come_past_motion_negative
John came to school.	John was not in motion.	contradiction	motion	gen_come_past_motion_negative
John came to school.	John was stationary.	contradiction	motion	gen_come_past_motion_negative
John came to a restaurant.	John was not moving.	contradiction	motion	gen_come_past_motion_negative
John came to a restaurant.	John was not in motion.	contradiction	motion	gen_come_past_motion_negative
John came to a restaurant.	John was stationary.	contradiction	motion	gen_come_past_motion_negative
Jane came to the market.	Jane was not moving.	contradiction	motion	gen_come_past_motion_negative
Jane came to the market.	Jane was not in motion.	contradiction	motion	gen_come_past_motion_negative
Jane came to the market.	Jane was stationary.	contradiction	motion	gen_come_past_motion_negative
Jane came to school.	Jane was not moving.	contradiction	motion	gen_come_past_motion_negative
Jane came to school.	Jane was not in motion.	contradiction	motion	gen_come_past_motion_negative
Jane came to school.	Jane was stationary.	contradiction	motion	gen_come_past_motion_negative
Jane came to a restaurant.	Jane was not moving.	contradiction	motion	gen_come_past_motion_negative
Jane came to a restaurant.	Jane was not in motion.	contradiction	motion	gen_come_past_motion_negative
Jane came to a restaurant.	Jane was stationary.	contradiction	motion	gen_come_past_motion_negative
Tom came to the market.	Tom was not moving.	contradiction	motion	gen_come_past_motion_negative
Tom came to the market.	Tom was not in motion.	contradiction	motion	gen_come_past_motion_negative
Tom came to the market.	Tom was stationary.	contradiction	motion	gen_come_past_motion_negative
Tom came to school.	Tom was not moving.	contradiction	motion	gen_come_past_motion_negative
Tom came to school.	Tom was not in motion.	contradiction	motion	gen_come_past_motion_negative
Tom came to school.	Tom was stationary.	contradiction	motion	gen_come_past_motion_negative
Tom came to a restaurant.	Tom was not moving.	contradiction	motion	gen_come_past_motion_negative
Tom came to a restaurant.	Tom was not in motion.	contradiction	motion	gen_come_past_motion_negative
Tom came to a restaurant.	Tom was stationary.	contradiction	motion	gen_come_past_motion_negative
Alice came to the market.	Alice was not moving.	contradiction	motion	gen_come_past_motion_negative
Alice came to the market.	Alice was not in motion.	contradiction	motion	gen_come_past_motion_negative
Alice came to the market.	Alice was stationary.	contradiction	motion	gen_come_past_motion_negative
Alice came to school.	Alice was not moving.	contradiction	motion	gen_come_past_motion_negative
Alice came to school.	Alice was not in motion.	contradiction	motion	gen_come_past_motion_negative
Alice came to school.	Alice was stationary.	contradiction	motion	gen_come_past_motion_negative
Alice came to a restaurant.	Alice was not moving.	contradiction	motion	gen_come_past_motion_negative
Alice came to a restaurant.	Alice was not in motion.	contradiction	motion	gen_come_past_motion_negative
Alice came to a restaurant.	Alice was stationary.	contradiction	motion	gen_come_past_motion_negative
Bob came to the market.	Bob was not moving.	contradiction	motion	gen_come_past_motion_negative
Bob came to the market.	Bob was not in motion.	contradiction	motion	gen_come_past_motion_negative
Bob came to the market.	Bob was stationary.	contradiction	motion	gen_come_past_motion_negative
Bob came to school.	Bob was not moving.	contradiction	motion	gen_come_past_motion_negative
Bob came to school.	Bob was not in motion.	contradiction	motion	gen_come_past_motion_negative
Bob came to school.	Bob was stationary.	contradiction	motion	gen_come_past_motion_negative
Bob came to a restaurant.	Bob was not moving.	contradiction	motion	gen_come_past_motion_negative
Bob came to a restaurant.	Bob was not in motion.	contradiction	motion	gen_come_past_motion_negative
Bob came to a restaurant.	Bob was stationary.	contradiction	motion	gen_come_past_motion_negative
Sonya came to the market.	Sonya was not moving.	contradiction	motion	gen_come_past_motion_negative
Sonya came to the market.	Sonya was not in motion.	contradiction	motion	gen_come_past_motion_negative
Sonya came to the market.	Sonya was stationary.	contradiction	motion	gen_come_past_motion_negative
Sonya came to school.	Sonya was not moving.	contradiction	motion	gen_come_past_motion_negative
Sonya came to school.	Sonya was not in motion.	contradiction	motion	gen_come_past_motion_negative
