premise	hypothesis	entailment	reasoning_type	function_name	g_id	answer	correct
John is not stationary.	John is moving.	entailment	motion	motion_one_hop	0	contradiction	0
John is not stationary.	John is in motion.	entailment	motion	motion_one_hop	0	contradiction	0
John is not stationary.	John is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
John is not stationary.	John is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
John is not stationary.	John is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
John is not stationary.	John is thinking.	neutral	motion	motion_one_hop	2	contradiction	0
John is not stationary.	John is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
John is not stationary.	John is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
John is moving.	John is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
John is moving.	John is in motion.	entailment	motion	motion_one_hop	0	entailment	1
John is moving.	John is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
John is moving.	John is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
John is moving.	John is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
John is moving.	John is thinking.	neutral	motion	motion_one_hop	2	entailment	0
John is moving.	John is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
John is moving.	John is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
John is in motion.	John is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
John is in motion.	John is moving.	entailment	motion	motion_one_hop	0	entailment	1
John is in motion.	John is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
John is in motion.	John is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
John is in motion.	John is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
John is in motion.	John is thinking.	neutral	motion	motion_one_hop	2	entailment	0
John is in motion.	John is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
John is in motion.	John is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Jane is not stationary.	Jane is moving.	entailment	motion	motion_one_hop	0	contradiction	0
Jane is not stationary.	Jane is in motion.	entailment	motion	motion_one_hop	0	None	0
Jane is not stationary.	Jane is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Jane is not stationary.	Jane is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Jane is not stationary.	Jane is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Jane is not stationary.	Jane is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Jane is not stationary.	Jane is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Jane is not stationary.	Jane is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Jane is moving.	Jane is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Jane is moving.	Jane is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Jane is moving.	Jane is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Jane is moving.	Jane is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Jane is moving.	Jane is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
Jane is moving.	Jane is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Jane is moving.	Jane is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Jane is moving.	Jane is brainstorming.	neutral	motion	motion_one_hop	2	entailment	0
Jane is in motion.	Jane is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Jane is in motion.	Jane is moving.	entailment	motion	motion_one_hop	0	entailment	1
Jane is in motion.	Jane is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Jane is in motion.	Jane is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Jane is in motion.	Jane is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Jane is in motion.	Jane is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Jane is in motion.	Jane is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Jane is in motion.	Jane is brainstorming.	neutral	motion	motion_one_hop	2	entailment	0
Tom is not stationary.	Tom is moving.	entailment	motion	motion_one_hop	0	contradiction	0
Tom is not stationary.	Tom is in motion.	entailment	motion	motion_one_hop	0	contradiction	0
Tom is not stationary.	Tom is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Tom is not stationary.	Tom is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Tom is not stationary.	Tom is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Tom is not stationary.	Tom is thinking.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is not stationary.	Tom is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is not stationary.	Tom is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is moving.	Tom is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Tom is moving.	Tom is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Tom is moving.	Tom is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Tom is moving.	Tom is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Tom is moving.	Tom is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
Tom is moving.	Tom is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Tom is moving.	Tom is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is moving.	Tom is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is in motion.	Tom is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Tom is in motion.	Tom is moving.	entailment	motion	motion_one_hop	0	entailment	1
Tom is in motion.	Tom is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Tom is in motion.	Tom is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Tom is in motion.	Tom is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Tom is in motion.	Tom is thinking.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is in motion.	Tom is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Tom is in motion.	Tom is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is not stationary.	Alice is moving.	entailment	motion	motion_one_hop	0	None	0
Alice is not stationary.	Alice is in motion.	entailment	motion	motion_one_hop	0	None	0
Alice is not stationary.	Alice is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is not stationary.	Alice is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Alice is not stationary.	Alice is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is not stationary.	Alice is thinking.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is not stationary.	Alice is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is not stationary.	Alice is brainstorming.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is moving.	Alice is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Alice is moving.	Alice is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Alice is moving.	Alice is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is moving.	Alice is stationary.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is moving.	Alice is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is moving.	Alice is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Alice is moving.	Alice is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is moving.	Alice is brainstorming.	neutral	motion	motion_one_hop	2	neutral	1
Alice is in motion.	Alice is not stationary.	entailment	motion	motion_one_hop	0	neutral	0
Alice is in motion.	Alice is moving.	entailment	motion	motion_one_hop	0	entailment	1
Alice is in motion.	Alice is not in motion.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is in motion.	Alice is stationary.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is in motion.	Alice is not moving.	contradiction	motion	motion_one_hop	1	neutral	0
Alice is in motion.	Alice is thinking.	neutral	motion	motion_one_hop	2	entailment	0
Alice is in motion.	Alice is ruminating.	neutral	motion	motion_one_hop	2	contradiction	0
Alice is in motion.	Alice is brainstorming.	neutral	motion	motion_one_hop	2	neutral	1
John is walking.	John is not stationary.	entailment	motion	motion_one_hop_jerund	0	neutral	0
John is walking.	John is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is walking.	John is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is walking.	John is not in motion.	contradiction	motion	motion_one_hop_jerund	1	neutral	0
John is walking.	John is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is walking.	John is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is walking.	John is thinking.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
John is walking.	John is ruminating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
John is walking.	John is brainstorming.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
John is jogging.	John is not stationary.	entailment	motion	motion_one_hop_jerund	0	contradiction	0
John is jogging.	John is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is jogging.	John is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is jogging.	John is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is jogging.	John is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is jogging.	John is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is jogging.	John is thinking.	neutral	motion	motion_one_hop_jerund	2	entailment	0
John is jogging.	John is ruminating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
John is jogging.	John is brainstorming.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
John is sprinting.	John is not stationary.	entailment	motion	motion_one_hop_jerund	0	neutral	0
John is sprinting.	John is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is sprinting.	John is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
John is sprinting.	John is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is sprinting.	John is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
John is sprinting.	John is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
